Country,Country.Region,animals,Taxon,Feed_tonnes_mean,sd,crop,scenario,plot_id
Brazil,South America,beef,Meat,0,0,wheat,Current,1
British Virgin Islands,Caribbean,beef,Meat,0,0,wheat,Current,1
Brunei Darussalam,Southern Asia,beef,Meat,0,0,wheat,Current,1
Burkina Faso,Western Africa,beef,Meat,0,0,wheat,Current,1
Burundi,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Cote d'Ivoire,Western Africa,beef,Meat,0,0,wheat,Current,1
Cabo Verde,Western Africa,beef,Meat,0,0,wheat,Current,1
Cambodia,Southern Asia,beef,Meat,0,0,wheat,Current,1
Cameroon,Central Africa,beef,Meat,0,0,wheat,Current,1
Central African Republic,Central Africa,beef,Meat,0,0,wheat,Current,1
Chad,Central Africa,beef,Meat,0,0,wheat,Current,1
Chile,South America,beef,Meat,0,0,wheat,Current,1
"China, Hong Kong SAR",Eastern Asia,beef,Meat,0,0,wheat,Current,1
"China, Macao SAR",Eastern Asia,beef,Meat,0,0,wheat,Current,1
"China, mainland",China,beef,Meat,0,0,wheat,Current,1
"China, Taiwan Province of",China,beef,Meat,0,0,wheat,Current,1
Colombia,South America,beef,Meat,0,0,wheat,Current,1
Comoros,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Congo,Central Africa,beef,Meat,0,0,wheat,Current,1
Cook Islands,Island nation,beef,Meat,0,0,wheat,Current,1
Costa Rica,Central America,beef,Meat,0,0,wheat,Current,1
Cuba,Caribbean,beef,Meat,0,0,wheat,Current,1
Cyprus,Western Asia,beef,Meat,0,0,wheat,Current,1
Democratic People's Republic of Korea,Eastern Asia,beef,Meat,0,0,wheat,Current,1
Democratic Republic of the Congo,Central Africa,beef,Meat,0,0,wheat,Current,1
Djibouti,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Dominica,Caribbean,beef,Meat,0,0,wheat,Current,1
Dominican Republic,Caribbean,beef,Meat,0,0,wheat,Current,1
Ecuador,South America,beef,Meat,0,0,wheat,Current,1
Egypt,Northern Africa,beef,Meat,0,0,wheat,Current,1
El Salvador,Central America,beef,Meat,0,0,wheat,Current,1
Equatorial Guinea,Central Africa,beef,Meat,0,0,wheat,Current,1
Eritrea,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Ethiopia,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Falkland Islands (Malvinas),South America,beef,Meat,0,0,wheat,Current,1
Fiji,Island nation,beef,Meat,0,0,wheat,Current,1
French Guiana,South America,beef,Meat,0,0,wheat,Current,1
French Polynesia,Island nation,beef,Meat,0,0,wheat,Current,1
Gabon,Central Africa,beef,Meat,0,0,wheat,Current,1
Gambia,Western Africa,beef,Meat,0,0,wheat,Current,1
Georgia,Western Asia,beef,Meat,0,0,wheat,Current,1
Ghana,Western Africa,beef,Meat,0,0,wheat,Current,1
Grenada,Caribbean,beef,Meat,0,0,wheat,Current,1
Guadeloupe,Caribbean,beef,Meat,0,0,wheat,Current,1
Guam,Island nation,beef,Meat,0,0,wheat,Current,1
Guatemala,Central America,beef,Meat,0,0,wheat,Current,1
Guinea,Western Africa,beef,Meat,0,0,wheat,Current,1
Guinea-Bissau,Western Africa,beef,Meat,0,0,wheat,Current,1
Guyana,South America,beef,Meat,0,0,wheat,Current,1
Haiti,Caribbean,beef,Meat,0,0,wheat,Current,1
Honduras,Central America,beef,Meat,0,0,wheat,Current,1
India,Southern Asia,beef,Meat,0,0,wheat,Current,1
Indonesia,Southern Asia,beef,Meat,0,0,wheat,Current,1
Iran (Islamic Republic of),Middle East,beef,Meat,0,0,wheat,Current,1
Iraq,Middle East,beef,Meat,0,0,wheat,Current,1
Israel,Middle East,beef,Meat,0,0,wheat,Current,1
Jamaica,Caribbean,beef,Meat,0,0,wheat,Current,1
Japan,Eastern Asia,beef,Meat,0,0,wheat,Current,1
Jordan,Western Asia,beef,Meat,0,0,wheat,Current,1
Kazakhstan,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
Kenya,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Kiribati,Island nation,beef,Meat,0,0,wheat,Current,1
Kuwait,Western Asia,beef,Meat,0,0,wheat,Current,1
Kyrgyzstan,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
Lao People's Democratic Republic,Southern Asia,beef,Meat,0,0,wheat,Current,1
Lebanon,Middle East,beef,Meat,0,0,wheat,Current,1
Lesotho,Southern Africa,beef,Meat,0,0,wheat,Current,1
Liberia,Western Africa,beef,Meat,0,0,wheat,Current,1
Libya,Northern Africa,beef,Meat,0,0,wheat,Current,1
Madagascar,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Malawi,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Malaysia,Southern Asia,beef,Meat,0,0,wheat,Current,1
Mali,Western Africa,beef,Meat,0,0,wheat,Current,1
Martinique,Caribbean,beef,Meat,0,0,wheat,Current,1
Mauritania,Western Africa,beef,Meat,0,0,wheat,Current,1
Mauritius,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Mexico,Central America,beef,Meat,0,0,wheat,Current,1
Micronesia (Federated States of),Island nation,beef,Meat,0,0,wheat,Current,1
Mongolia,Eastern Asia,beef,Meat,0,0,wheat,Current,1
Montserrat,Caribbean,beef,Meat,0,0,wheat,Current,1
Morocco,Northern Africa,beef,Meat,0,0,wheat,Current,1
Mozambique,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Myanmar,Southern Asia,beef,Meat,0,0,wheat,Current,1
Namibia,Southern Africa,beef,Meat,0,0,wheat,Current,1
Nauru,Island nation,beef,Meat,0,0,wheat,Current,1
Nepal,Southern Asia,beef,Meat,0,0,wheat,Current,1
Nicaragua,Central America,beef,Meat,0,0,wheat,Current,1
Niger,Western Africa,beef,Meat,0,0,wheat,Current,1
Nigeria,Western Africa,beef,Meat,0,0,wheat,Current,1
Niue,Island nation,beef,Meat,0,0,wheat,Current,1
Occupied Palestinian Territory,Middle East,beef,Meat,0,0,wheat,Current,1
Oman,Middle East,beef,Meat,0,0,wheat,Current,1
Pakistan,Middle East,beef,Meat,0,0,wheat,Current,1
Panama,Central America,beef,Meat,0,0,wheat,Current,1
Papua New Guinea,Island nation,beef,Meat,0,0,wheat,Current,1
Paraguay,South America,beef,Meat,0,0,wheat,Current,1
Peru,South America,beef,Meat,0,0,wheat,Current,1
Philippines,Southern Asia,beef,Meat,0,0,wheat,Current,1
Puerto Rico,Central America,beef,Meat,0,0,wheat,Current,1
Qatar,Middle East,beef,Meat,0,0,wheat,Current,1
R'union,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Republic of Korea,Eastern Asia,beef,Meat,0,0,wheat,Current,1
Republic of Moldova,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
Russian Federation,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
Rwanda,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Saint Kitts and Nevis,Central America,beef,Meat,0,0,wheat,Current,1
Saint Lucia,Central America,beef,Meat,0,0,wheat,Current,1
Saint Vincent and the Grenadines,Caribbean,beef,Meat,0,0,wheat,Current,1
Samoa,Island nation,beef,Meat,0,0,wheat,Current,1
Sao Tome and Principe,Central Africa,beef,Meat,0,0,wheat,Current,1
Saudi Arabia,Middle East,beef,Meat,0,0,wheat,Current,1
Senegal,Western Africa,beef,Meat,0,0,wheat,Current,1
Seychelles,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Sierra Leone,Western Africa,beef,Meat,0,0,wheat,Current,1
Singapore,Southern Asia,beef,Meat,0,0,wheat,Current,1
Solomon Islands,Island nation,beef,Meat,0,0,wheat,Current,1
Somalia,Eastern Africa,beef,Meat,0,0,wheat,Current,1
South Africa,Southern Africa,beef,Meat,0,0,wheat,Current,1
South Sudan,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Sri Lanka,Southern Asia,beef,Meat,0,0,wheat,Current,1
Sudan,Northern Africa,beef,Meat,0,0,wheat,Current,1
Suriname,South America,beef,Meat,0,0,wheat,Current,1
Swaziland,Southern Africa,beef,Meat,0,0,wheat,Current,1
Syrian Arab Republic,Middle East,beef,Meat,0,0,wheat,Current,1
Tajikistan,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
Thailand,Southern Asia,beef,Meat,0,0,wheat,Current,1
Timor-Leste,Southern Asia,beef,Meat,0,0,wheat,Current,1
Togo,Western Africa,beef,Meat,0,0,wheat,Current,1
Tokelau,Island nation,beef,Meat,0,0,wheat,Current,1
Tonga,Island nation,beef,Meat,0,0,wheat,Current,1
Trinidad and Tobago,Caribbean,beef,Meat,0,0,wheat,Current,1
Tunisia,Northern Africa,beef,Meat,0,0,wheat,Current,1
Turkey,Middle East,beef,Meat,0,0,wheat,Current,1
Turkmenistan,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
Tuvalu,Island nation,beef,Meat,0,0,wheat,Current,1
Uganda,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Ukraine,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
United Arab Emirates,Middle East,beef,Meat,0,0,wheat,Current,1
United Republic of Tanzania,Eastern Africa,beef,Meat,0,0,wheat,Current,1
United States Virgin Islands,Caribbean,beef,Meat,0,0,wheat,Current,1
Uruguay,South America,beef,Meat,0,0,wheat,Current,1
Uzbekistan,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
Vanuatu,Island nation,beef,Meat,0,0,wheat,Current,1
Venezuela (Bolivarian Republic of),South America,beef,Meat,0,0,wheat,Current,1
Viet Nam,Southern Asia,beef,Meat,0,0,wheat,Current,1
Wallis and Futuna Islands,Island nation,beef,Meat,0,0,wheat,Current,1
Western Sahara,Northern Africa,beef,Meat,0,0,wheat,Current,1
Yemen,Middle East,beef,Meat,0,0,wheat,Current,1
Zambia,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Zimbabwe,Eastern Africa,beef,Meat,0,0,wheat,Current,1
Albania,Europe,beef,Meat,158904.76,0,maize,Current,1
Australia,Australia,beef,Meat,176135.37,0,maize,Current,1
Austria,Europe,beef,Meat,761819.67,0,maize,Current,1
Belgium,Europe,beef,Meat,466510.2,0,maize,Current,1
Bermuda,USA,beef,Meat,0,0,maize,Current,1
Bosnia and Herzegovina,Europe,beef,Meat,78627.78,0,maize,Current,1
Bulgaria,Europe,beef,Meat,72505.82,0,maize,Current,1
Canada,Canada,beef,Meat,5354428.69,0,maize,Current,1
Croatia,Europe,beef,Meat,584040.6,0,maize,Current,1
Czechia,Europe,beef,Meat,388069.98,0,maize,Current,1
Denmark,Europe,beef,Meat,23887.92,0,maize,Current,1
Estonia,Europe,beef,Meat,3928.21,0,maize,Current,1
Faroe Islands,Europe,beef,Meat,420.39,0,maize,Current,1
Finland,Europe,beef,Meat,0,0,maize,Current,1
France,Europe,beef,Meat,3658881.24,0,maize,Current,1
Germany,Europe,beef,Meat,1927148.72,0,maize,Current,1
Greece,Europe,beef,Meat,961301.84,0,maize,Current,1
Greenland,Europe,beef,Meat,0,0,maize,Current,1
Hungary,Europe,beef,Meat,407122.38,0,maize,Current,1
Iceland,Europe,beef,Meat,5967.59,0,maize,Current,1
Ireland,Europe,beef,Meat,160988.3,0,maize,Current,1
Italy,Europe,beef,Meat,5867321.6,0,maize,Current,1
Latvia,Europe,beef,Meat,4152.48,0,maize,Current,1
Lithuania,Europe,beef,Meat,42224.4,0,maize,Current,1
Luxembourg,Europe,beef,Meat,2507,0,maize,Current,1
Malta,Europe,beef,Meat,11427.48,0,maize,Current,1
Montenegro,Europe,beef,Meat,8298.64,0,maize,Current,1
Netherlands,Europe,beef,Meat,1116043.2,0,maize,Current,1
New Caledonia,Island nation,beef,Meat,4324.84,0,maize,Current,1
New Zealand,New Zealand,beef,Meat,71170.95,0,maize,Current,1
Norway,Europe,beef,Meat,39049.2,0,maize,Current,1
Poland,Europe,beef,Meat,732375.76,0,maize,Current,1
Portugal,Europe,beef,Meat,924557.04,0,maize,Current,1
Romania,Europe,beef,Meat,1968446.48,0,maize,Current,1
Saint Pierre and Miquelon,Canada,beef,Meat,0,0,maize,Current,1
Serbia,Europe,beef,Meat,1521918.72,0,maize,Current,1
Slovakia,Europe,beef,Meat,196344,0,maize,Current,1
Slovenia,Europe,beef,Meat,150782.56,0,maize,Current,1
Spain,Europe,beef,Meat,2890636.8,0,maize,Current,1
Sweden,Europe,beef,Meat,11353.29,0,maize,Current,1
Switzerland,Europe,beef,Meat,168941.54,0,maize,Current,1
The former Yugoslav Republic of Macedonia,Europe,beef,Meat,35657.49,0,maize,Current,1
United Kingdom,Europe,beef,Meat,0,0,maize,Current,1
United States of America,USA,beef,Meat,79683265.2,0,maize,Current,1
Afghanistan,Middle East,beef,Meat,45013.79,0,maize,Current,1
Algeria,Northern Africa,beef,Meat,716238.6,0,maize,Current,1
American Samoa,Island nation,beef,Meat,2.2,0,maize,Current,1
Angola,Central Africa,beef,Meat,91640.16,0,maize,Current,1
Antigua and Barbuda,Caribbean,beef,Meat,19.7,0,maize,Current,1
Argentina,South America,beef,Meat,2841865.27,0,maize,Current,1
Armenia,East Europe and CIS,beef,Meat,37070.1,0,maize,Current,1
Azerbaijan,Middle East,beef,Meat,41317.99,0,maize,Current,1
Bahamas,Caribbean,beef,Meat,5.4,0,maize,Current,1
Bahrain,Middle East,beef,Meat,2406.02,0,maize,Current,1
Bangladesh,Middle East,beef,Meat,172506.6,0,maize,Current,1
Barbados,Caribbean,beef,Meat,1575.6,0,maize,Current,1
Belarus,East Europe and CIS,beef,Meat,582241.6,0,maize,Current,1
Belize,Central America,beef,Meat,11858.72,0,maize,Current,1
Benin,Western Africa,beef,Meat,169599.36,0,maize,Current,1
Bhutan,Middle East,beef,Meat,11892.04,0,maize,Current,1
Bolivia (Plurinational State of),South America,beef,Meat,188667.81,0,maize,Current,1
Botswana,Southern Africa,beef,Meat,2270.22,0,maize,Current,1
Brazil,South America,beef,Meat,22884969.86,0,maize,Current,1
British Virgin Islands,Caribbean,beef,Meat,568.62,0,maize,Current,1
Brunei Darussalam,Southern Asia,beef,Meat,0,0,maize,Current,1
Burkina Faso,Western Africa,beef,Meat,0,0,maize,Current,1
Burundi,Eastern Africa,beef,Meat,13130.1,0,maize,Current,1
Cote d'Ivoire,Western Africa,beef,Meat,16402.24,0,maize,Current,1
Cabo Verde,Western Africa,beef,Meat,1081.17,0,maize,Current,1
Cambodia,Southern Asia,beef,Meat,141896.62,0,maize,Current,1
Cameroon,Central Africa,beef,Meat,288528.8,0,maize,Current,1
Central African Republic,Central Africa,beef,Meat,0,0,maize,Current,1
Chad,Central Africa,beef,Meat,7921.65,0,maize,Current,1
Chile,South America,beef,Meat,487941.1,0,maize,Current,1
"China, Hong Kong SAR",Eastern Asia,beef,Meat,1561.08,0,maize,Current,1
"China, Macao SAR",Eastern Asia,beef,Meat,0,0,maize,Current,1
"China, mainland",China,beef,Meat,31163118.28,0,maize,Current,1
"China, Taiwan Province of",China,beef,Meat,79435.2,0,maize,Current,1
Colombia,South America,beef,Meat,1669023.72,0,maize,Current,1
Comoros,Eastern Africa,beef,Meat,1833.3,0,maize,Current,1
Congo,Central Africa,beef,Meat,0,0,maize,Current,1
Cook Islands,Island nation,beef,Meat,2.2,0,maize,Current,1
Costa Rica,Central America,beef,Meat,229014.45,0,maize,Current,1
Cuba,Caribbean,beef,Meat,265199.69,0,maize,Current,1
Cyprus,Western Asia,beef,Meat,18889.56,0,maize,Current,1
Democratic People's Republic of Korea,Eastern Asia,beef,Meat,46318.08,0,maize,Current,1
Democratic Republic of the Congo,Central Africa,beef,Meat,11785.8,0,maize,Current,1
Djibouti,Eastern Africa,beef,Meat,8766.9,0,maize,Current,1
Dominica,Caribbean,beef,Meat,43.62,0,maize,Current,1
Dominican Republic,Caribbean,beef,Meat,447291.68,0,maize,Current,1
Ecuador,South America,beef,Meat,366046.8,0,maize,Current,1
Egypt,Northern Africa,beef,Meat,3031216.5,0,maize,Current,1
El Salvador,Central America,beef,Meat,174636,0,maize,Current,1
Equatorial Guinea,Central Africa,beef,Meat,48.6,0,maize,Current,1
Eritrea,Eastern Africa,beef,Meat,34777.8,0,maize,Current,1
Ethiopia,Eastern Africa,beef,Meat,148132.53,0,maize,Current,1
Falkland Islands (Malvinas),South America,beef,Meat,305.44,0,maize,Current,1
Fiji,Island nation,beef,Meat,383.78,0,maize,Current,1
French Guiana,South America,beef,Meat,689.73,0,maize,Current,1
French Polynesia,Island nation,beef,Meat,410,0,maize,Current,1
Gabon,Central Africa,beef,Meat,4003.94,0,maize,Current,1
Gambia,Western Africa,beef,Meat,5510.8,0,maize,Current,1
Georgia,Western Asia,beef,Meat,31533.64,0,maize,Current,1
Ghana,Western Africa,beef,Meat,108419.08,0,maize,Current,1
Grenada,Caribbean,beef,Meat,1341.4,0,maize,Current,1
Guadeloupe,Caribbean,beef,Meat,12271.5,0,maize,Current,1
Guam,Island nation,beef,Meat,4.4,0,maize,Current,1
Guatemala,Central America,beef,Meat,298838.07,0,maize,Current,1
Guinea,Western Africa,beef,Meat,141686.22,0,maize,Current,1
Guinea-Bissau,Western Africa,beef,Meat,108.04,0,maize,Current,1
Guyana,South America,beef,Meat,6356.4,0,maize,Current,1
Haiti,Caribbean,beef,Meat,12914.99,0,maize,Current,1
Honduras,Central America,beef,Meat,131313.27,0,maize,Current,1
India,Southern Asia,beef,Meat,965597.7,0,maize,Current,1
Indonesia,Southern Asia,beef,Meat,1580701.26,0,maize,Current,1
Iran (Islamic Republic of),Middle East,beef,Meat,1038181.19,0,maize,Current,1
Iraq,Middle East,beef,Meat,113534.4,0,maize,Current,1
Israel,Middle East,beef,Meat,538292.42,0,maize,Current,1
Jamaica,Caribbean,beef,Meat,47369,0,maize,Current,1
Japan,Eastern Asia,beef,Meat,4600920.5,0,maize,Current,1
Jordan,Western Asia,beef,Meat,134981.25,0,maize,Current,1
Kazakhstan,East Europe and CIS,beef,Meat,203327.13,0,maize,Current,1
Kenya,Eastern Africa,beef,Meat,47900.23,0,maize,Current,1
Kiribati,Island nation,beef,Meat,0,0,maize,Current,1
Kuwait,Western Asia,beef,Meat,8422.7,0,maize,Current,1
Kyrgyzstan,East Europe and CIS,beef,Meat,154569.44,0,maize,Current,1
Lao People's Democratic Republic,Southern Asia,beef,Meat,210621.84,0,maize,Current,1
Lebanon,Middle East,beef,Meat,233935.5,0,maize,Current,1
Lesotho,Southern Africa,beef,Meat,434.72,0,maize,Current,1
Liberia,Western Africa,beef,Meat,1392.32,0,maize,Current,1
Libya,Northern Africa,beef,Meat,28139.2,0,maize,Current,1
Madagascar,Eastern Africa,beef,Meat,8314.11,0,maize,Current,1
Malawi,Eastern Africa,beef,Meat,192194.89,0,maize,Current,1
Malaysia,Southern Asia,beef,Meat,172885.04,0,maize,Current,1
Mali,Western Africa,beef,Meat,100679.22,0,maize,Current,1
Martinique,Caribbean,beef,Meat,4090.5,0,maize,Current,1
Mauritania,Western Africa,beef,Meat,0,0,maize,Current,1
Mauritius,Eastern Africa,beef,Meat,12374.3,0,maize,Current,1
Mexico,Central America,beef,Meat,5246862.84,0,maize,Current,1
Micronesia (Federated States of),Island nation,beef,Meat,143.22,0,maize,Current,1
Mongolia,Eastern Asia,beef,Meat,0,0,maize,Current,1
Montserrat,Caribbean,beef,Meat,2945.16,0,maize,Current,1
Morocco,Northern Africa,beef,Meat,210802.2,0,maize,Current,1
Mozambique,Eastern Africa,beef,Meat,87451.41,0,maize,Current,1
Myanmar,Southern Asia,beef,Meat,222974.32,0,maize,Current,1
Namibia,Southern Africa,beef,Meat,2882.05,0,maize,Current,1
Nauru,Island nation,beef,Meat,0,0,maize,Current,1
Nepal,Southern Asia,beef,Meat,195104.67,0,maize,Current,1
Nicaragua,Central America,beef,Meat,16958.58,0,maize,Current,1
Niger,Western Africa,beef,Meat,0,0,maize,Current,1
Nigeria,Western Africa,beef,Meat,720242.37,0,maize,Current,1
Niue,Island nation,beef,Meat,1.76,0,maize,Current,1
Occupied Palestinian Territory,Middle East,beef,Meat,17487.6,0,maize,Current,1
Oman,Middle East,beef,Meat,0,0,maize,Current,1
Pakistan,Middle East,beef,Meat,273106.02,0,maize,Current,1
Panama,Central America,beef,Meat,222691.84,0,maize,Current,1
Papua New Guinea,Island nation,beef,Meat,1833.04,0,maize,Current,1
Paraguay,South America,beef,Meat,87589,0,maize,Current,1
Peru,South America,beef,Meat,941699.33,0,maize,Current,1
Philippines,Southern Asia,beef,Meat,1112903.87,0,maize,Current,1
Puerto Rico,Central America,beef,Meat,30876.16,0,maize,Current,1
Qatar,Middle East,beef,Meat,1154.04,0,maize,Current,1
R'union,Eastern Africa,beef,Meat,2275.2,0,maize,Current,1
Republic of Korea,Eastern Asia,beef,Meat,2500852.72,0,maize,Current,1
Republic of Moldova,East Europe and CIS,beef,Meat,147141.96,0,maize,Current,1
Russian Federation,East Europe and CIS,beef,Meat,2070885.3,0,maize,Current,1
Rwanda,Eastern Africa,beef,Meat,0,0,maize,Current,1
Saint Kitts and Nevis,Central America,beef,Meat,8.88,0,maize,Current,1
Saint Lucia,Central America,beef,Meat,0,0,maize,Current,1
Saint Vincent and the Grenadines,Caribbean,beef,Meat,709.66,0,maize,Current,1
Samoa,Island nation,beef,Meat,0,0,maize,Current,1
Sao Tome and Principe,Central Africa,beef,Meat,16.24,0,maize,Current,1
Saudi Arabia,Middle East,beef,Meat,184955.4,0,maize,Current,1
Senegal,Western Africa,beef,Meat,3073.32,0,maize,Current,1
Seychelles,Eastern Africa,beef,Meat,9,0,maize,Current,1
Sierra Leone,Western Africa,beef,Meat,2109.9,0,maize,Current,1
Singapore,Southern Asia,beef,Meat,144.42,0,maize,Current,1
Solomon Islands,Island nation,beef,Meat,0,0,maize,Current,1
Somalia,Eastern Africa,beef,Meat,87669.9,0,maize,Current,1
South Africa,Southern Africa,beef,Meat,2315617.72,0,maize,Current,1
South Sudan,Eastern Africa,beef,Meat,308655,0,maize,Current,1
Sri Lanka,Southern Asia,beef,Meat,23611.22,0,maize,Current,1
Sudan,Northern Africa,beef,Meat,7074.16,0,maize,Current,1
Suriname,South America,beef,Meat,5965.44,0,maize,Current,1
Swaziland,Southern Africa,beef,Meat,18722.44,0,maize,Current,1
Syrian Arab Republic,Middle East,beef,Meat,162939.12,0,maize,Current,1
Tajikistan,East Europe and CIS,beef,Meat,24727.15,0,maize,Current,1
Thailand,Southern Asia,beef,Meat,852470.4,0,maize,Current,1
Timor-Leste,Southern Asia,beef,Meat,2029.37,0,maize,Current,1
Togo,Western Africa,beef,Meat,17696,0,maize,Current,1
Tokelau,Island nation,beef,Meat,0,0,maize,Current,1
Tonga,Island nation,beef,Meat,205.48,0,maize,Current,1
Trinidad and Tobago,Caribbean,beef,Meat,4604.16,0,maize,Current,1
Tunisia,Northern Africa,beef,Meat,193649.75,0,maize,Current,1
Turkey,Middle East,beef,Meat,1013466.6,0,maize,Current,1
Turkmenistan,East Europe and CIS,beef,Meat,6740.86,0,maize,Current,1
Tuvalu,Island nation,beef,Meat,0,0,maize,Current,1
Uganda,Eastern Africa,beef,Meat,80105.25,0,maize,Current,1
Ukraine,East Europe and CIS,beef,Meat,3441953.17,0,maize,Current,1
United Arab Emirates,Middle East,beef,Meat,99906.56,0,maize,Current,1
United Republic of Tanzania,Eastern Africa,beef,Meat,212235.32,0,maize,Current,1
United States Virgin Islands,Caribbean,beef,Meat,2250.18,0,maize,Current,1
Uruguay,South America,beef,Meat,164920.28,0,maize,Current,1
Uzbekistan,East Europe and CIS,beef,Meat,74970.28,0,maize,Current,1
Vanuatu,Island nation,beef,Meat,391.35,0,maize,Current,1
Venezuela (Bolivarian Republic of),South America,beef,Meat,761467.77,0,maize,Current,1
Viet Nam,Southern Asia,beef,Meat,1026400.68,0,maize,Current,1
Wallis and Futuna Islands,Island nation,beef,Meat,1.76,0,maize,Current,1
Western Sahara,Northern Africa,beef,Meat,0,0,maize,Current,1
Yemen,Middle East,beef,Meat,68607.34,0,maize,Current,1
Zambia,Eastern Africa,beef,Meat,181556.4,0,maize,Current,1
Zimbabwe,Eastern Africa,beef,Meat,21716.11,0,maize,Current,1
