country,ISO3,MIXED_crop,MARINE_crop,MIXED_c&g,MARINE_c&g
Kenya,KEN,0.16,0.16,0.11,0.1
Kiribati,KIR,NA,NA,NA,NA
Kuwait,KWT,0.18,0.17,0.25,0.25
Kyrgyzstan,KGZ,0.15,0.14,0.17,0.17
Lao People's Democratic Republic,LAO,0.18,0.36,0.29,0.36
Latvia,LVA,0.14,0.05,0.1,0.07
Lebanon,LBN,0.17,0.17,0.34,0.33
Lesotho,LSO,0.21,0.22,0.14,0.13
Liberia,LBR,0.3,0.3,0.21,0.2
Libya,LBY,0.16,0.16,0.16,0.16
Liechtenstein,LIE,NA,NA,0.01,0
Lithuania,LTU,0.15,0.11,0.11,0.1
Luxembourg,LUX,0.16,0.15,0.13,0.13
Madagascar,MDG,0.49,0.49,0.12,0.12
Malawi,MWI,0.41,0.42,0.27,0.27
Malaysia,MYS,0.15,0.03,0.18,0.18
Maldives,MDV,NA,NA,NA,NA
Mali,MLI,0.19,0.19,0.12,0.12
Malta,MLT,0.24,0.24,0.13,0.12
Marshall Islands,MHL,NA,NA,NA,NA
Martinique,MTQ,0.6,0.6,0.47,0.47
Mauritania,MRT,NA,NA,0.14,0.14
Mauritius,MUS,0.33,0.28,0.33,0.32
Mayotte,MYT,NA,NA,NA,NA
Mexico,MEX,0.35,0.33,0.35,0.35
Micronesia (Federated States of),FSM,0.39,0.39,0.49,0.49
Mongolia,MNG,0.12,0.12,0.15,0.15
Montenegro,MNE,0.11,0.11,0.07,0.07
Montserrat,MSR,NA,NA,0.25,0.24
Morocco,MAR,0.13,0.13,0.18,0.18
Mozambique,MOZ,0.33,0.33,0.15,0.14
Myanmar,MMR,0.08,0.16,0.11,0.12
Namibia,NAM,0.27,0.27,0.18,0.18
Nauru,NRU,NA,NA,NA,NA
Nepal,NPL,0.11,0.13,0.1,0.1
Netherlands,NLD,0.24,0.24,0.15,0.14
New Caledonia,NCL,0.21,0.03,0.29,0.28
New Zealand,NZL,0.09,0.07,0.1,0.1
Nicaragua,NIC,0.25,0.19,0.14,0.14
Niger,NER,0.17,0.16,0.13,0.13
Nigeria,NGA,0.45,0.47,0.24,0.24
Niue,NIU,0.59,0.59,0.08,0.08
Norfolk Island,#N/A,NA,NA,NA,NA
Northern Mariana Is.,#N/A,NA,NA,NA,NA
Norway,NOR,-0.05,-0.41,0.16,0.11
Occupied Palestinian Territory,PSE,0.22,0.21,0.25,0.25
Oman,OMN,0.14,0.14,0.18,0.17
Pakistan,PAK,0.1,0.1,0.11,0.11
Palau,PLW,NA,NA,NA,NA
Panama,PAN,0.38,0.32,0.32,0.31
Papua New Guinea,PNG,0.55,0.56,0.44,0.44
Paraguay,PRY,0.2,0.18,0.37,0.36
Peru,PER,0.33,0.31,0.23,0.23
Philippines,PHL,0.21,0,0.3,0.15
Poland,POL,0.21,0.2,0.14,0.13
Portugal,PRT,0.26,0.24,0.18,0.18
Puerto Rico,PRI,0.6,0.6,0.13,0.12
Qatar,QAT,0.24,0.24,0.23,0.23
R'union,REU,0.6,0.6,0.13,0.12
Republic of Korea,KOR,0.33,0.26,0.42,0.42
Republic of Moldova,MDA,0.26,0.26,0.15,0.15
Romania,ROU,0.16,0.13,0.12,0.1
Russian Federation,RUS,0.25,0.21,0.21,0.21
Rwanda,RWA,NA,NA,0.15,0.15
Saint Kitts and Nevis,KNA,NA,NA,0.45,0.45
Saint Lucia,LCA,NA,NA,0.31,0.31
Saint Pierre and Miquelon,SPM,NA,NA,NA,NA
Saint Vincent and the Grenadines,VCT,0.55,0.55,0.21,0.21
Samoa,WSM,0.6,0.6,0.36,0.35
Sao Tome and Principe,STP,0.17,0.17,0.16,0.16
Saudi Arabia,SAU,0.21,0.16,0.23,0.22
Senegal,SEN,0.26,0.26,0.12,0.12
Serbia,SRB,0.19,0.17,0.15,0.14
Serbia and Montenegro,#N/A,NA,NA,NA,NA
Seychelles,SYC,0.6,0.6,0.37,0.37
Sierra Leone,SLE,0.58,0.58,0.16,0.15
Singapore,SGP,NA,NA,0.39,0.39
Slovakia,SVK,0.16,0.16,0.12,0.12
Slovenia,SVN,0.2,0.2,0.16,0.16
Solomon Islands,SLB,0.6,0.6,0.26,0.26
Somalia,SOM,0.15,0.14,0.1,0.1
South Africa,ZAF,0.35,0.33,0.35,0.35
South Sudan,SSD,0.1,0.09,0.06,0.06
Spain,ESP,0.31,0.29,0.23,0.22
Sri Lanka,LKA,0.21,0.22,0.12,0.12
Sudan,SDN,0.07,0.07,0.06,0.05
Suriname,SUR,0.31,0.3,0.37,0.36
Swaziland,SWZ,0.24,0.24,0.15,0.14
Sweden,SWE,0.2,0.2,0.18,0.18
Switzerland,CHE,0.2,0.2,0.15,0.15
Syrian Arab Republic,SYR,0.16,0.16,0.18,0.18
Tajikistan,TJK,0.06,0.05,0.08,0.07
Thailand,THA,0.35,0.26,0.33,0.27
The former Yugoslav Republic of Macedonia,MKD,0.08,0.08,0.06,0.06
Timor-Leste,TLS,0.47,0.47,0.43,0.43
Togo,TGO,0.28,0.28,0.21,0.2
Tokelau,TKL,NA,NA,NA,NA
Tonga,TON,0.6,0.6,0.41,0.41
Trinidad and Tobago,TTO,0.35,0.35,0.11,0.11
Tunisia,TUN,0.1,0.08,0.14,0.14
Turkey,TUR,0.12,0.09,0.18,0.17
Turkmenistan,TKM,0.11,0.11,0.18,0.18
Turks and Caicos Islands,#N/A,NA,NA,NA,NA
Tuvalu,TUV,NA,NA,NA,NA
Uganda,UGA,0.14,0.17,0.09,0.08
Ukraine,UKR,0.21,0.18,0.19,0.18
United Arab Emirates,ARE,NA,NA,0.26,0.26
United Kingdom,GBR,0.12,-0.02,0.18,0.16
United Republic of Tanzania,TZA,0.21,0.2,0.07,0.07
United States of America,USA,0.22,0.2,0.25,0.24
United States Virgin Islands,VGB,NA,NA,0.34,0.34
Uruguay,URY,0.15,0.11,0.33,0.32
US Virgin Islands,#N/A,NA,NA,NA,NA
Uzbekistan,UZB,0.04,0.05,0.2,0.2
Vanuatu,VUT,0.31,0.3,0.21,0.2
Venezuela (Bolivarian Republic of),VEN,0.34,0.33,0.22,0.22
Viet Nam,VNM,0.15,0.07,0.3,0.26
Wallis and Futuna Islands,WLF,0.6,0.6,0.23,0.23
Western Sahara,ESH,NA,NA,0.24,0.24
Yemen,YEM,0.24,0.24,0.24,0.24
Yugoslavia,#N/A,NA,NA,NA,NA
Zambia,ZMB,0.33,0.36,0.34,0.34
Zanzibar,#N/A,NA,NA,NA,NA
Zimbabwe,ZWE,0.15,0.16,0.14,0.14
