Country,Country.Region,animals,Taxon,Prod_tonnes_mean,sd,Scenario,plot_id
Viet Nam,Southern Asia,beef,Meat,285400,,Current,1
Wallis and Futuna Islands,Small Island Nations,beef,Meat,3,,Current,1
Western Sahara,Northern Africa,beef,Meat,0,,Current,1
Yemen,Middle East,beef,Meat,112000,,Current,1
Zambia,Eastern Africa,beef,Meat,197827,,Current,1
Zimbabwe,Eastern Africa,beef,Meat,103750,,Current,1
Albania,Europe,beef,Meat,53829,4721,BAU,1
Australia,Australia,beef,Meat,3028254,265569,BAU,1
Austria,Europe,beef,Meat,299071,26228,BAU,1
Belgium,Europe,beef,Meat,326600,28642,BAU,1
Bermuda,USA,beef,Meat,39,3,BAU,1
Bosnia and Herzegovina,Europe,beef,Meat,21447,1881,BAU,1
Bulgaria,Europe,beef,Meat,24964,2189,BAU,1
Canada,Canada,beef,Meat,1379549,120982,BAU,1
Croatia,Europe,beef,Meat,37171,3260,BAU,1
Czechia,Europe,beef,Meat,85346,7485,BAU,1
Denmark,Europe,beef,Meat,167237,14666,BAU,1
Estonia,Europe,beef,Meat,15000,1315,BAU,1
Faroe Islands,Europe,beef,Meat,102,9,BAU,1
Finland,Europe,beef,Meat,106078,9303,BAU,1
France,Europe,beef,Meat,1829679,160457,BAU,1
Germany,Europe,beef,Meat,1445549,126770,BAU,1
Greece,Europe,beef,Meat,99950,8765,BAU,1
Greenland,Europe,beef,Meat,0,0,BAU,1
Hungary,Europe,beef,Meat,30648,2688,BAU,1
Iceland,Europe,beef,Meat,5333,468,BAU,1
Ireland,Europe,beef,Meat,676239,59304,BAU,1
Italy,Europe,beef,Meat,1100266,96490,BAU,1
Latvia,Europe,beef,Meat,21804,1912,BAU,1
Lithuania,Europe,beef,Meat,49268,4321,BAU,1
Luxembourg,Europe,beef,Meat,10531,924,BAU,1
Malta,Europe,beef,Meat,1482,130,BAU,1
Montenegro,Europe,beef,Meat,6010,527,BAU,1
Netherlands,Europe,beef,Meat,488332,42825,BAU,1
New Caledonia,Small Island Nations,beef,Meat,4304,42825,BAU,1
New Zealand,New Zealand,beef,Meat,736561,377,BAU,1
Norway,Europe,beef,Meat,109352,64594,BAU,1
Poland,Europe,beef,Meat,504324,9590,BAU,1
Portugal,Europe,beef,Meat,120986,44228,BAU,1
Romania,Europe,beef,Meat,125662,10610,BAU,1
Saint Pierre and Miquelon,Canada,beef,Meat,0,11020,BAU,1
Serbia,Europe,beef,Meat,91458,0,BAU,1
Slovakia,Europe,beef,Meat,16332,8021,BAU,1
Slovenia,Europe,beef,Meat,41945,1432,BAU,1
Spain,Europe,beef,Meat,758891,3678,BAU,1
Sweden,Europe,beef,Meat,158967,66552,BAU,1
Switzerland,Europe,beef,Meat,186749,13941,BAU,1
The former Yugoslav Republic of Macedonia,Europe,beef,Meat,7166,16377,BAU,1
United Kingdom,Europe,beef,Meat,1106639,628,BAU,1
United States of America,USA,beef,Meat,15284531,97049,BAU,1
Afghanistan,Middle East,beef,Meat,201876,7,BAU,1
Algeria,Northern Africa,beef,Meat,210837,205,BAU,1
American Samoa,Small Island Nations,beef,Meat,6,0,BAU,1
Angola,Central Africa,beef,Meat,158789,2534,BAU,1
Antigua and Barbuda,Caribbean,beef,Meat,235,18811,BAU,1
Argentina,South America,beef,Meat,4251456,15354,BAU,1
Armenia,East Europe and CIS,beef,Meat,80751,16035,BAU,1
Azerbaijan,Middle East,beef,Meat,185301,0,BAU,1
Bahamas,Caribbean,beef,Meat,27,12077,BAU,1
Bahrain,Middle East,beef,Meat,1555,18,BAU,1
Bangladesh,Middle East,beef,Meat,292269,323344,BAU,1
Barbados,Caribbean,beef,Meat,241,6141,BAU,1
Belarus,East Europe and CIS,beef,Meat,475615,14093,BAU,1
Belize,Central America,beef,Meat,2784,2,BAU,1
Benin,Western Africa,beef,Meat,47230,118,BAU,1
Bhutan,Middle East,beef,Meat,7683,22228,BAU,1
Bolivia (Plurinational State of),South America,beef,Meat,328019,18,BAU,1
Botswana,Southern Africa,beef,Meat,70807,36173,BAU,1
Brazil,South America,beef,Meat,14575775,212,BAU,1
British Virgin Islands,Caribbean,beef,Meat,209,3592,BAU,1
Brunei Darussalam,Southern Asia,beef,Meat,1148,584,BAU,1
Burkina Faso,Western Africa,beef,Meat,114259,24947,BAU,1
Burundi,Eastern Africa,beef,Meat,13651,5385,BAU,1
Cote d'Ivoire,Western Africa,beef,Meat,47961,1108558,BAU,1
Cabo Verde,Western Africa,beef,Meat,823,16,BAU,1
Cambodia,Southern Asia,beef,Meat,95816,87,BAU,1
Cameroon,Central Africa,beef,Meat,192837,8690,BAU,1
Central African Republic,Central Africa,beef,Meat,135589,1038,BAU,1
Chad,Central Africa,beef,Meat,148244,3648,BAU,1
Chile,South America,beef,Meat,310777,63,BAU,1
"China, Hong Kong SAR",Eastern Asia,beef,Meat,11902,7287,BAU,1
"China, Macao SAR",Eastern Asia,beef,Meat,1205,14666,BAU,1
"China, mainland",China,beef,Meat,9632063,10312,BAU,1
"China, Taiwan Province of",China,beef,Meat,9039,11275,BAU,1
Colombia,South America,beef,Meat,1278162,23636,BAU,1
Comoros,Eastern Africa,beef,Meat,1906,905,BAU,1
Congo,Central Africa,beef,Meat,9871,92,BAU,1
Cook Islands,Small Island Nations,beef,Meat,6,732565,BAU,1
Costa Rica,Central America,beef,Meat,128106,687,BAU,1
Cuba,Caribbean,beef,Meat,100788,97210,BAU,1
Cyprus,Western Asia,beef,Meat,5256,145,BAU,1
Democratic People's Republic of Korea,Eastern Asia,beef,Meat,33106,751,BAU,1
Democratic Republic of the Congo,Central Africa,beef,Meat,18380,0,BAU,1
Djibouti,Eastern Africa,beef,Meat,9115,9743,BAU,1
Dominica,Caribbean,beef,Meat,868,7665,BAU,1
Dominican Republic,Caribbean,beef,Meat,151639,400,BAU,1
Ecuador,South America,beef,Meat,392454,2518,BAU,1
Egypt,Northern Africa,beef,Meat,711087,1398,BAU,1
El Salvador,Central America,beef,Meat,27738,693,BAU,1
Equatorial Guinea,Central Africa,beef,Meat,75,66,BAU,1
Eritrea,Eastern Africa,beef,Meat,36157,11533,BAU,1
Ethiopia,Eastern Africa,beef,Meat,513354,29848,BAU,1
Falkland Islands (Malvinas),South America,beef,Meat,237,54082,BAU,1
Fiji,Small Island Nations,beef,Meat,11450,2110,BAU,1
French Guiana,South America,beef,Meat,535,6,BAU,1
French Polynesia,Small Island Nations,beef,Meat,196,2750,BAU,1
Gabon,Central Africa,beef,Meat,1751,39043,BAU,1
Gambia,Western Africa,beef,Meat,5604,18,BAU,1
Georgia,Western Asia,beef,Meat,30432,871,BAU,1
Ghana,Western Africa,beef,Meat,32937,41,BAU,1
Grenada,Caribbean,beef,Meat,211,15,BAU,1
Guadeloupe,Caribbean,beef,Meat,4520,133,BAU,1
Guam,Small Island Nations,beef,Meat,12,426,BAU,1
Guatemala,Central America,beef,Meat,125645,2315,BAU,1
Guinea,Western Africa,beef,Meat,84442,2505,BAU,1
Guinea-Bissau,Western Africa,beef,Meat,10109,16,BAU,1
Guyana,South America,beef,Meat,3408,344,BAU,1
Haiti,Caribbean,beef,Meat,70054,1,BAU,1
Honduras,Central America,beef,Meat,94912,9556,BAU,1
India,Southern Asia,beef,Meat,1456184,6422,BAU,1
Indonesia,Southern Asia,beef,Meat,822000,769,BAU,1
Iran (Islamic Republic of),Middle East,beef,Meat,375128,259,BAU,1
Iraq,Middle East,beef,Meat,77286,5328,BAU,1
Israel,Middle East,beef,Meat,199223,7219,BAU,1
Jamaica,Caribbean,beef,Meat,8437,110750,BAU,1
Japan,Eastern Asia,beef,Meat,765336,62517,BAU,1
Jordan,Western Asia,beef,Meat,29829,28530,BAU,1
Kazakhstan,East Europe and CIS,beef,Meat,577710,5878,BAU,1
Kenya,Eastern Africa,beef,Meat,640280,15152,BAU,1
Kiribati,Small Island Nations,beef,Meat,0,642,BAU,1
Kuwait,Western Asia,beef,Meat,4143,58207,BAU,1
Kyrgyzstan,East Europe and CIS,beef,Meat,148545,2269,BAU,1
Lao People's Democratic Republic,Southern Asia,beef,Meat,43117,43938,BAU,1
Lebanon,Middle East,beef,Meat,71628,48696,BAU,1
Lesotho,Southern Africa,beef,Meat,20338,0,BAU,1
Liberia,Western Africa,beef,Meat,1714,315,BAU,1
Libya,Northern Africa,beef,Meat,13408,11298,BAU,1
Madagascar,Eastern Africa,beef,Meat,259313,3279,BAU,1
Malawi,Eastern Africa,beef,Meat,57824,5448,BAU,1
Malaysia,Southern Asia,beef,Meat,40318,1547,BAU,1
Mali,Western Africa,beef,Meat,254605,130,BAU,1
Martinique,Caribbean,beef,Meat,1507,1020,BAU,1
Mauritania,Western Africa,beef,Meat,44292,19722,BAU,1
Mauritius,Eastern Africa,beef,Meat,3992,4398,BAU,1
Mexico,Central America,beef,Meat,2721953,3066,BAU,1
Micronesia (Federated States of),Small Island Nations,beef,Meat,389,19364,BAU,1
Mongolia,Eastern Asia,beef,Meat,85023,115,BAU,1
Montserrat,Caribbean,beef,Meat,1085,3369,BAU,1
Morocco,Northern Africa,beef,Meat,382661,304,BAU,1
Mozambique,Eastern Africa,beef,Meat,38417,207018,BAU,1
Myanmar,Southern Asia,beef,Meat,325413,30,BAU,1
Namibia,Southern Africa,beef,Meat,53934,6466,BAU,1
Nauru,Small Island Nations,beef,Meat,0,82,BAU,1
Nepal,Southern Asia,beef,Meat,78114,29103,BAU,1
Nicaragua,Central America,beef,Meat,181820,2922,BAU,1
Niger,Western Africa,beef,Meat,215134,24749,BAU,1
Nigeria,Western Africa,beef,Meat,607136,4102,BAU,1
Niue,Small Island Nations,beef,Meat,5,0,BAU,1
Occupied Palestinian Territory,Middle East,beef,Meat,11299,5941,BAU,1
Oman,Middle East,beef,Meat,31336,13828,BAU,1
Pakistan,Middle East,beef,Meat,1224817,16362,BAU,1
Panama,Central America,beef,Meat,127905,46176,BAU,1
Papua New Guinea,Small Island Nations,beef,Meat,4972,0,BAU,1
Paraguay,South America,beef,Meat,563446,859,BAU,1
Peru,South America,beef,Meat,287100,2383,BAU,1
Philippines,Southern Asia,beef,Meat,297929,93153,BAU,1
Puerto Rico,Central America,beef,Meat,15517,9728,BAU,1
Qatar,Middle East,beef,Meat,746,378,BAU,1
R'union,Eastern Africa,beef,Meat,2365,42853,BAU,1
Republic of Korea,Eastern Asia,beef,Meat,506197,21835,BAU,1
Republic of Moldova,East Europe and CIS,beef,Meat,14613,22659,BAU,1
Russian Federation,East Europe and CIS,beef,Meat,2460569,1180,BAU,1
Rwanda,Eastern Africa,beef,Meat,53208,57,BAU,1
Saint Kitts and Nevis,Central America,beef,Meat,143,180,BAU,1
Saint Lucia,Central America,beef,Meat,685,38499,BAU,1
Saint Vincent and the Grenadines,Caribbean,beef,Meat,309,1111,BAU,1
Samoa,Small Island Nations,beef,Meat,1657,187138,BAU,1
Sao Tome and Principe,Central Africa,beef,Meat,217,4047,BAU,1
Saudi Arabia,Middle East,beef,Meat,78340,11,BAU,1
Senegal,Western Africa,beef,Meat,95855,52,BAU,1
Seychelles,Eastern Africa,beef,Meat,9,23,BAU,1
Sierra Leone,Western Africa,beef,Meat,15186,126,BAU,1
Singapore,Southern Asia,beef,Meat,75,16,BAU,1
Solomon Islands,Small Island Nations,beef,Meat,1115,5958,BAU,1
Somalia,Eastern Africa,beef,Meat,91146,7290,BAU,1
South Africa,Southern Africa,beef,Meat,1282066,1,BAU,1
South Sudan,Eastern Africa,beef,Meat,320893,1155,BAU,1
Sri Lanka,Southern Asia,beef,Meat,36835,6,BAU,1
Sudan,Northern Africa,beef,Meat,539341,85,BAU,1
Suriname,South America,beef,Meat,2460,6932,BAU,1
Swaziland,Southern Africa,beef,Meat,25762,97507,BAU,1
Syrian Arab Republic,Middle East,beef,Meat,105277,24405,BAU,1
Tajikistan,East Europe and CIS,beef,Meat,52126,2801,BAU,1
Thailand,Southern Asia,beef,Meat,241046,41019,BAU,1
Timor-Leste,Southern Asia,beef,Meat,1733,187,BAU,1
Togo,Western Africa,beef,Meat,14784,1959,BAU,1
Tokelau,Small Island Nations,beef,Meat,0,8007,BAU,1
Tonga,Small Island Nations,beef,Meat,557,3964,BAU,1
Trinidad and Tobago,Caribbean,beef,Meat,1561,18333,BAU,1
Tunisia,Northern Africa,beef,Meat,84366,132,BAU,1
Turkey,Middle East,beef,Meat,1309623,1124,BAU,1
Turkmenistan,East Europe and CIS,beef,Meat,220256,0,BAU,1
Tuvalu,Small Island Nations,beef,Meat,0,42,BAU,1
Uganda,Eastern Africa,beef,Meat,299814,119,BAU,1
Ukraine,East Europe and CIS,beef,Meat,644498,6416,BAU,1
United Arab Emirates,Middle East,beef,Meat,24105,99603,BAU,1
United Republic of Tanzania,Eastern Africa,beef,Meat,451331,16752,BAU,1
United States Virgin Islands,Caribbean,beef,Meat,829,0,BAU,1
Uruguay,South America,beef,Meat,757790,22802,BAU,1
Uzbekistan,East Europe and CIS,beef,Meat,1224817,49017,BAU,1
Vanuatu,Small Island Nations,beef,Meat,4670,1833,BAU,1
Venezuela (Bolivarian Republic of),South America,beef,Meat,777524,34326,BAU,1
Viet Nam,Southern Asia,beef,Meat,429967,63,BAU,1
Wallis and Futuna Islands,Small Island Nations,beef,Meat,5,57634,BAU,1
Western Sahara,Northern Africa,beef,Meat,0,93153,BAU,1
Yemen,Middle East,beef,Meat,168732,355,BAU,1
Zambia,Eastern Africa,beef,Meat,298034,59134,BAU,1
Zimbabwe,Eastern Africa,beef,Meat,156304,32701,BAU,1
Albania,Europe,beef,Meat,41200,8,Mixed,1
Australia,Australia,beef,Meat,2317766,0,Mixed,1
Austria,Europe,beef,Meat,228903,0,Mixed,1
Belgium,Europe,beef,Meat,249973,23314,Mixed,1
Bermuda,USA,beef,Meat,30,0,Mixed,1
Bosnia and Herzegovina,Europe,beef,Meat,16415,0,Mixed,1
Bulgaria,Europe,beef,Meat,19107,0,Mixed,1
Canada,Canada,beef,Meat,1055880,0,Mixed,1
Croatia,Europe,beef,Meat,28450,0,Mixed,1
Czechia,Europe,beef,Meat,65322,0,Mixed,1
Denmark,Europe,beef,Meat,128000,0,Mixed,1
Estonia,Europe,beef,Meat,11481,0,Mixed,1
Faroe Islands,Europe,beef,Meat,78,0,Mixed,1
Finland,Europe,beef,Meat,81190,0,Mixed,1
France,Europe,beef,Meat,1400400,0,Mixed,1
Germany,Europe,beef,Meat,1106395,0,Mixed,1
Greece,Europe,beef,Meat,76500,0,Mixed,1
Greenland,Europe,beef,Meat,0,0,Mixed,1
Hungary,Europe,beef,Meat,23457,0,Mixed,1
Iceland,Europe,beef,Meat,4082,0,Mixed,1
Ireland,Europe,beef,Meat,517580,0,Mixed,1
Italy,Europe,beef,Meat,842122,0,Mixed,1
Latvia,Europe,beef,Meat,16688,0,Mixed,1
Lithuania,Europe,beef,Meat,37709,0,Mixed,1
Luxembourg,Europe,beef,Meat,8060,0,Mixed,1
Malta,Europe,beef,Meat,1134,0,Mixed,1
Montenegro,Europe,beef,Meat,4600,0,Mixed,1
Netherlands,Europe,beef,Meat,373760,0,Mixed,1
New Caledonia,Small Island Nations,beef,Meat,3294,0,Mixed,1
New Zealand,New Zealand,beef,Meat,563749,0,Mixed,1
Norway,Europe,beef,Meat,83696,0,Mixed,1
Poland,Europe,beef,Meat,386000,0,Mixed,1
Portugal,Europe,beef,Meat,92600,0,Mixed,1
Romania,Europe,beef,Meat,96179,0,Mixed,1
Saint Pierre and Miquelon,Canada,beef,Meat,0,0,Mixed,1
Serbia,Europe,beef,Meat,70000,0,Mixed,1
Slovakia,Europe,beef,Meat,12500,0,Mixed,1
Slovenia,Europe,beef,Meat,32104,0,Mixed,1
Spain,Europe,beef,Meat,580840,0,Mixed,1
Sweden,Europe,beef,Meat,121670,0,Mixed,1
Switzerland,Europe,beef,Meat,142934,0,Mixed,1
The former Yugoslav Republic of Macedonia,Europe,beef,Meat,5485,0,Mixed,1
United Kingdom,Europe,beef,Meat,847000,0,Mixed,1
United States of America,USA,beef,Meat,11698479,0,Mixed,1
Afghanistan,Middle East,beef,Meat,134000,0,Mixed,1
Algeria,Northern Africa,beef,Meat,139948,0,Mixed,1
