country,MixNeg_crop,MixPos_crop,MARNeg_crop,MARPos_crop,MixNeg_c&g,MixPos_c&g,MARNeg_c&g,MARPos_c&g
Suriname,0,1,0,1,0,1,0,1
Swaziland,0,1,0,1,0,1,0,1
Sweden,0,1,0,1,0,1,0,1
Switzerland,0,1,0,1,0,1,0,1
Syrian Arab Republic,0,1,0,1,0,1,0,1
Tajikistan,0,1,0,1,0,1,0,1
Thailand,0,1,0,1,0,1,0,1
The former Yugoslav Republic of Macedonia,0,1,0,1,0,1,0,1
Timor-Leste,0,1,0,1,0,1,0,1
Togo,0,1,0,1,0,1,0,1
Tokelau,0,0,0,0,0,0,0,0
Tonga,0,1,0,1,0,1,0,1
Trinidad and Tobago,0,1,0,1,0,1,0,1
Tunisia,0,1,0,1,0,1,0,1
Turkey,0,1,0,1,0,1,0,1
Turkmenistan,0,1,0,1,0,1,0,1
Turks and Caicos Islands,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0
Uganda,0,1,0,1,0,1,0,1
Ukraine,0,1,0,1,0,1,0,1
United Arab Emirates,0,0,0,0,0,1,0,1
United Kingdom,0,1,1,0,0,1,0,1
United Republic of Tanzania,0,1,0,1,0,1,0,1
United States of America,0,1,0,1,0,1,0,1
United States Virgin Islands,0,0,0,0,0,1,0,1
Uruguay,0,1,0,1,0,1,0,1
US Virgin Islands,0,0,0,0,0,0,0,0
Uzbekistan,0,1,0,1,0,1,0,1
Vanuatu,0,1,0,1,0,1,0,1
Venezuela (Bolivarian Republic of),0,1,0,1,0,1,0,1
Viet Nam,0,1,0,1,0,1,0,1
Wallis and Futuna Islands,0,1,0,1,0,1,0,1
Western Sahara,0,0,0,0,0,1,0,1
Yemen,0,1,0,1,0,1,0,1
Yugoslavia,0,0,0,0,0,0,0,0
Zambia,0,1,0,1,0,1,0,1
Zanzibar,0,0,0,0,0,0,0,0
Zimbabwe,0,1,0,1,0,1,0,1
