Country,Wheat% Prod,Maize% Prod,Soybeans% Prod,Rapeseed% Prod,Pulses% Prod,Barley% Prod,Cassava% Prod
"China, mainland",0.96,0.99,0.16,0.73,1,0.42,0.34
"China, Taiwan Province of",0,0.03,0,0,0,0,0.04
Colombia,0.01,0.33,0.05,0,0,0.05,1
Comoros,0,0.94,0,0,1,0,1
Congo,0,0.81,0,0,0,0,1
Cook Islands,0,0,0,0,0,0,1
Costa Rica,0,0.02,0,0,0,0,0.99
Croatia,0.96,0.99,0.44,0.52,0,0.86,0
Cuba,0,0.36,0,0,0,0,1
Cyprus,0.11,0,0,0,0.95,0.18,0
Czechia,0.98,0.86,0.03,0.84,0.98,0.98,0
Democratic People's Republic of Korea,0.14,0.86,0.74,0,0,0.98,0
Democratic Republic of the Congo,0.02,0.93,0.9,0,1,1,1
Denmark,0.92,0.22,0,0.6,0.96,0.97,0
Djibouti,0,0,0,0,0,0,0
Dominica,0,0.45,0,0,1,0,1
Dominican Republic,0,0.04,0,0,0,0,1
Ecuador,0.01,0.92,0.1,0,0,0.42,0.97
Egypt,0.48,0.57,0.01,0,0.99,0.84,0
El Salvador,0,0.73,0.03,0,0,0,0.94
Equatorial Guinea,0,0,0,0,0,0,1
Eritrea,0.26,0.96,0,0,1,1,0
Estonia,0.88,0,0,0.75,0,0.93,0
Ethiopia,0.71,1,0.92,0.99,1,1,0
Falkland Islands (Malvinas),0,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0
Fiji,0,0.46,0,0,1,0,1
Finland,0.98,0,0,0.19,0,1,0
France,0.98,0.96,0.03,0.69,0.85,1,0
French Guiana,0,1,0,0,0,0,1
French Polynesia,0,0,0,0,0,0,0.97
Gabon,0,0.88,0.44,0,1,0,1
Gambia,0,0.98,0,0,1,0,1
Georgia,0.1,0.86,0.07,0,0,0.78,0
Germany,0.85,0.66,0,0.52,0.88,0.9,0
Ghana,0,1,0,0,0.99,0,1
Greece,0.68,0.84,0,0.25,0.99,0.8,0
Greenland,0,0,0,0,0,0,0
Grenada,0,0.11,0,0,0,0,1
Guadeloupe,0,0,0,0,0,0,1
Guam,0,1,0,0,0,0,0
Guatemala,0,0.71,0.09,0,1,0.97,0.99
Guinea,0,1,0,0,1,0,1
Guinea-Bissau,0,0.9,0,0,1,0,1
Guyana,0,0.12,0,0,0,0,1
Haiti,0,0.9,0,0,0,0,1
Honduras,0,0.6,0.01,0,0,0,0.99
Hungary,0.98,0.98,0.13,0.72,0.93,0.95,0
Iceland,0,0,0,0,0,0,0
India,1,1,0.92,0.99,1,1,1
Indonesia,0,0.85,0.13,0,0.98,0,0.99
Iran (Islamic Republic of),0.68,0.32,0.05,0.88,1,0.79,0
Iraq,0.57,0.97,0,0,0,1,0
Ireland,0.49,0,0,0.13,0,0.87,0
Israel,0.09,0.06,0,0,0.68,0.05,0
Italy,0.55,0.66,0.16,0.13,0.58,0.58,0
Jamaica,0,0.02,0,0,0,0,1
Japan,0.11,0,0.04,0,0,0.12,0
Jordan,0.04,0.02,0,0,0,0.05,0
Kazakhstan,1,0.99,0.92,0.99,0,0.99,0
Kenya,0.29,0.97,0.1,0,0.99,1,1
Kiribati,0,0,0,0,0,0,0
Kuwait,0,0.11,0,0,0,0.02,0
Kyrgyzstan,0.62,1,0.02,0,1,0.99,0
Lao People's Democratic Republic,0,1,1,0,1,0,1
Latvia,0.86,0,0,0.63,0.39,0.73,0
Lebanon,0.18,0.01,0,0,0.47,0.63,0
Lesotho,0.11,0.34,0,0,0,1,0
Liberia,0,0,0.66,0,1,0,1
Libya,0.1,0,0,0,0,0.12,0
Lithuania,0.97,0.46,0,0.8,0.99,0.92,0
Luxembourg,0.44,0.15,0,0.5,0.72,0.95,0
Madagascar,0.03,0.95,0,0,0.97,0,1
Malawi,0.01,0.98,0.91,0,0,0,1
Malaysia,0,0.02,0,0,0,0,0.27
Mali,0.1,1,0.37,0,1,0,1
Malta,0.2,0,0,0,0,0.13,0
Martinique,0,0,0,0,0,0,1
Mauritania,0.01,0.68,0,0,1,1,0
Mauritius,0,0.01,0,0,0,0,0.62
Mexico,0.44,0.76,0.05,0,0.94,0.9,0.97
Micronesia (Federated States of),0,1,0,0,0,0,1
Mongolia,0.94,0,0,0.88,1,0.99,0
Montenegro,0.02,0.11,0,0,0,0.61,0
Montserrat,0,0,0,0,0,0,0
Morocco,0.7,0.06,0,0.02,1,0.94,0
Mozambique,0.03,0.88,0,0,1,0,1
Myanmar,0.49,1,0.97,0,0,0,1
Namibia,0.15,0.19,0,0,1,0,0
Nauru,0,0,0,0,0,0,0
Nepal,0.95,0.92,0.1,0,1,1,0
Netherlands,0.24,0.04,0,0,0,0.11,0
New Caledonia,0,0.54,0,0,0.89,0,0.99
New Zealand,0.5,0.99,0,0.05,0,0.97,0
Nicaragua,0,0.82,0.06,0,0,0,1
Niger,0.13,0.1,0,0,1,0,1
Nigeria,0.02,1,0.92,0,0.98,0,1
Niue,0,0,0,0,0,0,1
Norway,0.29,0,0,0.01,0,0.92,0
Occupied Palestinian Territory,0.14,0,0,0,0,0.06,0
Oman,0,0,0,0,0,0.03,0
Pakistan,0.98,0.99,0,0.3,1,0.98,0
Panama,0,0.29,0,0,1,0,0.98
Papua New Guinea,0,0.85,0,0,1,0,1
Paraguay,0.95,1,1,1,0,0,1
Peru,0.11,0.45,0,0,0.99,0.69,1
Philippines,0,0.96,0,0,0.99,0,0.97
Poland,0.93,0.93,0,0.88,1,0.95,0
Portugal,0.07,0.34,0,0,0,0.12,0
Puerto Rico,0,0,0,0,0,0,1
Qatar,0,0.06,0,0,0,0.01,0
R'union,0,0,0,0,0,0,1
Republic of Korea,0,0.01,0.05,0,0.98,0.5,0
Republic of Moldova,0.96,1,0.86,1,0,1,0
Romania,0.9,0.97,0.2,0.93,0.96,0.87,0
Russian Federation,0.98,0.99,0.48,1,1,0.98,0
Rwanda,0.98,0.91,0.98,0,0,0,0.99
Saint Kitts and Nevis,0,0,0,0,1,0,0
Saint Lucia,0,0,0,0,1,0,1
Saint Pierre and Miquelon,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0.09,0,0,1,0,1
Samoa,0,0,0,0,0,0,1
Sao Tome and Principe,0,0.54,0,0,0,0,1
Saudi Arabia,0.21,0.04,0,0,0.6,0,0
Senegal,0,0.62,0,0,0.98,0,0.99
Serbia,1,1,0.85,0.97,0,0.95,0
Seychelles,0,0,0,0,0,0,0.98
Sierra Leone,0,0.98,0,0,1,0,1
Singapore,0,0,0,0,0,0,0
Slovakia,0.96,0.94,0.32,0.8,0.98,0.85,0
Slovenia,0.37,0.48,0,0.31,0.98,0.75,0
Solomon Islands,0,0,0,0,1,0,1
Somalia,0.01,0.95,0,0,0,0,1
South Africa,0.55,0.99,0.48,0.96,0,0.9,0
South Sudan,0,1,0,0,1,0,1
Spain,0.68,0.46,0,0.11,0.94,0.97,0
Sri Lanka,0,0.92,0.08,0,0,0,0.99
Sudan,0.1,0.46,0,0,1,0,0
Suriname,0,0.01,0,0,0.99,0,0.99
Swaziland,0.02,0.56,0,0,1,0,0
Sweden,0.89,0,0,0.53,0,0.99,0
Switzerland,0.52,0.54,0.01,0.48,0,0.73,0
Syrian Arab Republic,0.63,0.17,0,0,1,0.73,0
Tajikistan,0.51,1,0,0.29,1,0.98,0
Thailand,0,0.96,0.04,0,1,0.9,0.98
The former Yugoslav Republic of Macedonia,0.71,0.71,0.01,0.95,1,1,0
Timor-Leste,0,0.99,1,0,0,0,1
Togo,0,1,0.98,0,1,0,1
Tokelau,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,1
Trinidad and Tobago,0,0.03,0,0,0.99,0,0.99
Tunisia,0.39,0,0,1,1,0.26,0
Turkey,0.82,0.78,0.08,0.37,0.99,0.97,0
Turkmenistan,0.67,1,0,0,0,1,0
Tuvalu,0,0,0,0,0,0,0
Uganda,0.04,1,0.99,0,0,0,1
Ukraine,1,1,1,1,1,1,0
United Arab Emirates,0,0,0,0,0,0,0
United Kingdom,0.79,0,0,0.79,0.99,0.97,0
United Republic of Tanzania,0.12,0.99,0.36,0,1,0.85,1
United States of America,0.94,0.99,0.98,0.17,0,0.92,0
United States Virgin Islands,0,0,0,0,0,0,0
Uruguay,0.96,0.83,0.97,0.97,0,0.42,0
Uzbekistan,0.8,1,0,1,1,0.82,0
Vanuatu,0,0.95,0,0,0,0,0
Venezuela (Bolivarian Republic of),0,0.51,0.01,0,0,0,0.99
Viet Nam,0,0.66,0.04,0,1,0,1
Wallis and Futuna Islands,0,0,0,0,0,0,1
Western Sahara,0,0,0,0,0,0,0
Yemen,0.07,0.14,0,0,1,1,0
Zambia,1,1,0.95,0,1,1,1
Zimbabwe,0.09,0.69,0.51,0,1,0.79,1
Czech Republic,0,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,1
Mayotte,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0
Northern Mariana Is.,0,0,0,0,0,0,0
