Country,Country.Region,ID,animals,Taxon,Current_onfeed,mean_wheat,mean_corn,mean_soy,mean_rs,mean_pulses,mean_barley,mean_cv
Bermuda,USA,USA_dairy cow,dairy cow,Dairy & eggs,76,20,104,195,182,65,46,0
Bosnia and Herzegovina,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,49194,12692,67691,126921,118459,42307,29615,0
Bulgaria,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,56606,14604,77890,146043,136307,48681,34077,0
Canada,Canada,Canada_dairy cow,dairy cow,Dairy & eggs,181650,46866,249950,468656,437412,156219,109353,0
Croatia,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,32542,8396,44778,83959,78362,27986,19591,0
Czech Republic,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,73073,18853,100549,188528,175960,62843,43990,0
Denmark,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,114161,29454,157086,294536,274900,98179,68725,0
Estonia,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,19153,4941,26354,49415,46120,16472,11530,0
Finland,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,55502,14319,76370,143194,133648,47731,33412,0
France,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,724801,186999,997326,1869986,1745321,623329,436330,0
Germany,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,836617,215847,1151185,2158472,2014574,719491,503644,0
Greece,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,41521,10712,57133,107124,99983,35708,24996,0
Hungary,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,50186,12948,69056,129480,120848,43160,30212,0
Iceland,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,4474,1154,6156,11542,10773,3847,2693,0
Ireland,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,228032,58832,313772,588323,549102,196108,137275,0
Italy,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,393842,101611,541927,1016112,948371,338704,237093,0
Latvia,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,32346,8345,44509,83454,77890,27818,19473,0
Liechtenstein,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,463,120,637,1195,1116,398,279,0
Lithuania,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,61889,15967,85160,159675,149030,53225,37257,0
Luxembourg,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,8304,2143,11427,21425,19997,7142,4999,0
Malta,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,1261,325,1735,3252,3035,1084,759,0
Montenegro,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,11958,3085,16454,30852,28795,10284,7199,0
Netherlands,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,313074,80773,430790,807731,753882,269244,188471,0
New Caledonia,Island nation,Other_dairy cow,dairy cow,Dairy & eggs,84,22,116,218,203,73,51,0
New Zealand,New Zealand,New Zealand_dairy cow,dairy cow,Dairy & eggs,761353,196429,1047622,1964291,1833338,654764,458335,0
Norway,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,44707,11535,61517,115345,107656,38448,26914,0
Poland,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,462769,119394,636770,1193943,1114347,397981,278587,0
Portugal,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,48304,12462,66466,124624,116316,41541,29079,0
Romania,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,227934,58807,313638,588070,548866,196023,137216,0
Serbia,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,87614,22605,120557,226045,210976,75348,52744,0
Slovakia,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,29365,7576,40406,75761,70710,25254,17677,0
Slovenia,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,21765,5615,29948,56153,52409,18718,13102,0
Spain,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,167966,43335,231121,433352,404462,144451,101116,0
Sweden,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,67441,17400,92799,173999,162399,58000,40600,0
Switzerland,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,115629,29832,159105,298323,278435,99441,69609,0
The former Yugoslav Republic of Macedonia,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,24802,6399,34128,63990,59724,21330,14931,0
United Kingdom,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,352282,90889,484740,908887,848294,302962,212074,0
United States of America,USA,USA_dairy cow,dairy cow,Dairy & eggs,1743287,449768,2398763,4497681,4197836,1499227,1049459,0
Albania,Europe,Europe_hen,hen,Dairy & eggs,62972,33381,31624,72033,0,0,1757,0
Australia,Australia,Australia_hen,hen,Dairy & eggs,199766,105896,100322,228512,0,0,5573,0
Austria,Europe,Europe_hen,hen,Dairy & eggs,88007,46653,44197,100672,0,0,2455,0
Belgium,Europe,Europe_hen,hen,Dairy & eggs,123743,65596,62144,141550,0,0,3452,0
Bermuda,USA,USA_hen,hen,Dairy & eggs,410,217,206,469,0,0,11,0
Bosnia and Herzegovina,Europe,Europe_hen,hen,Dairy & eggs,51629,27369,25928,59059,0,0,1440,0
Bulgaria,Europe,Europe_hen,hen,Dairy & eggs,73248,38829,36785,83789,0,0,2044,0
Canada,Canada,Canada_hen,hen,Dairy & eggs,372897,197673,187269,426557,0,0,10404,0
Croatia,Europe,Europe_hen,hen,Dairy & eggs,54663,28977,27452,62529,0,0,1525,0
Czech Republic,Europe,Europe_hen,hen,Dairy & eggs,119603,63401,60064,136813,0,0,3337,0
Denmark,Europe,Europe_hen,hen,Dairy & eggs,63491,33657,31885,72627,0,0,1771,0
Estonia,Europe,Europe_hen,hen,Dairy & eggs,8719,4622,4379,9973,0,0,243,0
Finland,Europe,Europe_hen,hen,Dairy & eggs,46901,24862,23554,53650,0,0,1309,0
France,Europe,Europe_hen,hen,Dairy & eggs,802097,425192,402813,917519,0,0,22379,0
Germany,Europe,Europe_hen,hen,Dairy & eggs,594050,314906,298332,679534,0,0,16574,0
Greece,Europe,Europe_hen,hen,Dairy & eggs,155790,82584,78237,178208,0,0,4347,0
Hungary,Europe,Europe_hen,hen,Dairy & eggs,165000,87467,82863,188744,0,0,4604,0
Iceland,Europe,Europe_hen,hen,Dairy & eggs,2733,1449,1373,3126,0,0,76,0
Ireland,Europe,Europe_hen,hen,Dairy & eggs,54663,28977,27452,62529,0,0,1525,0
Italy,Europe,Europe_hen,hen,Dairy & eggs,970268,514339,487269,1109889,0,0,27070,0
Latvia,Europe,Europe_hen,hen,Dairy & eggs,31486,16691,15812,36017,0,0,878,0
Lithuania,Europe,Europe_hen,hen,Dairy & eggs,46300,24543,23252,52962,0,0,1292,0
Luxembourg,Europe,Europe_hen,hen,Dairy & eggs,1326,703,666,1516,0,0,37,0
Malta,Europe,Europe_hen,hen,Dairy & eggs,3826,2028,1922,4377,0,0,107,0
Montenegro,Europe,Europe_hen,hen,Dairy & eggs,7516,3984,3775,8598,0,0,210,0
Netherlands,Europe,Europe_hen,hen,Dairy & eggs,612444,324657,307569,700575,0,0,17087,0
New Caledonia,Island nation,Other_hen,hen,Dairy & eggs,2351,1246,1180,2689,0,0,66,0
New Zealand,New Zealand,New Zealand_hen,hen,Dairy & eggs,45097,23906,22648,51586,0,0,1258,0
Norway,Europe,Europe_hen,hen,Dairy & eggs,57246,30346,28749,65483,0,0,1597,0
Poland,Europe,Europe_hen,hen,Dairy & eggs,681825,361435,342413,779940,0,0,19023,0
Portugal,Europe,Europe_hen,hen,Dairy & eggs,85411,45276,42893,97702,0,0,2383,0
