Country,Country-Region,Animal,Farm_factor_wheat,Farm_factor_corn,Farm_factor_soy,Farm_factor_rapeseed,Farm_factor_pulses,Farm_factor_barley,Farm_factor_cassava
United Kingdom,Europe,beef,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,beef,0.3,2.3,0.8,0.2,0,0.2,0.6
Albania,Europe,goat,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,goat,1.8,0,0.2,0.2,0.2,2.6,0
Austria,Europe,goat,1.1,1.1,0.5,0.3,0.1,2.8,0
Belgium,Europe,goat,1,0.6,0.5,1,0,2.1,0.2
Bermuda,USA,goat,0,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,goat,3.9,1.5,0.3,0,0,1.6,0
Bulgaria,Europe,goat,3.2,1.2,0.3,0,0,2.2,0.3
Canada,Canada,goat,1.6,1.7,0.5,0.5,0,6.9,0.1
Croatia,Europe,goat,1.4,6.6,0.7,0.2,0,2.4,0
Czechia,Europe,goat,6,1.9,1,4.5,0.1,8.3,0
Denmark,Europe,goat,2.9,0.1,0.6,0.6,0,4.2,0
Estonia,Europe,goat,1.2,0.1,0.2,1.5,0,6.1,0
Faroe Islands,Europe,goat,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Finland,Europe,goat,1.7,0,0.3,1.2,0,11.7,0.2
France,Europe,goat,2.9,0.8,0.6,0.8,0,2.5,0.2
Germany,Europe,goat,1.8,0.6,0.4,0.6,0,2.8,0
Greece,Europe,goat,1.3,4,0.6,0.1,0,1.8,0.3
Greenland,Europe,goat,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Hungary,Europe,goat,2.5,5.6,0.6,0.1,0,3,0
Iceland,Europe,goat,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,goat,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,goat,0.8,2.2,0.6,0.1,0,1.5,0
Latvia,Europe,goat,3.5,0.1,0.3,0.5,0,4,0
Lithuania,Europe,goat,2,0.4,0.3,0.5,0.2,5.4,1
Luxembourg,Europe,goat,3.3,0.1,0.4,0.4,0,2.5,0.1
Malta,Europe,goat,0,3.2,0.8,0,0.2,8.9,0.1
Montenegro,Europe,goat,2.1,0.6,0,0,0,0,0
Netherlands,Europe,goat,2.1,1,0.6,1,0,2.2,0.5
New Caledonia,Island nation,goat,0.8,0.5,0.4,0,0,0.1,5.1
New Zealand,New Zealand,goat,0.4,0.1,0,0,0,0.3,0
Norway,Europe,goat,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Poland,Europe,goat,1.7,0.6,0.3,0.4,0.2,3.1,0
Portugal,Europe,goat,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,goat,0.8,6.6,0.2,0,0,0.7,0
Saint Pierre and Miquelon,Canada,goat,1.6,1.7,0.5,0.5,0,6.9,0.1
Serbia,Europe,goat,0.9,7,0.3,0,0.2,0.9,0
Slovakia,Europe,goat,5.9,5.1,0.4,0.5,0,0.1,0
Slovenia,Europe,goat,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,goat,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,goat,3.6,0,0.4,0.8,0,7.5,0
Switzerland,Europe,goat,1.2,0.4,0.4,0.2,0,1.8,0.2
The former Yugoslav Republic of Macedonia,Europe,goat,0.7,2.1,0.2,0,0.3,4,0
United Kingdom,Europe,goat,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,goat,0.3,2.3,0.8,0.2,0,0.2,0.6
Albania,Europe,sheep,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,sheep,1.8,0,0.2,0.2,0.2,2.6,0
Austria,Europe,sheep,1.1,1.1,0.5,0.3,0.1,2.8,0
Belgium,Europe,sheep,1,0.6,0.5,1,0,2.1,0.2
Bermuda,USA,sheep,0,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,sheep,3.9,1.5,0.3,0,0,1.6,0
Bulgaria,Europe,sheep,3.2,1.2,0.3,0,0,2.2,0.3
Canada,Canada,sheep,1.6,1.7,0.5,0.5,0,6.9,0.1
Croatia,Europe,sheep,1.4,6.6,0.7,0.2,0,2.4,0
Czechia,Europe,sheep,6,1.9,1,4.5,0.1,8.3,0
Denmark,Europe,sheep,2.9,0.1,0.6,0.6,0,4.2,0
Estonia,Europe,sheep,1.2,0.1,0.2,1.5,0,6.1,0
Faroe Islands,Europe,sheep,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Finland,Europe,sheep,1.7,0,0.3,1.2,0,11.7,0.2
France,Europe,sheep,2.9,0.8,0.6,0.8,0,2.5,0.2
Germany,Europe,sheep,1.8,0.6,0.4,0.6,0,2.8,0
Greece,Europe,sheep,1.3,4,0.6,0.1,0,1.8,0.3
Greenland,Europe,sheep,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Hungary,Europe,sheep,2.5,5.6,0.6,0.1,0,3,0
Iceland,Europe,sheep,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,sheep,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,sheep,0.8,2.2,0.6,0.1,0,1.5,0
Latvia,Europe,sheep,3.5,0.1,0.3,0.5,0,4,0
Lithuania,Europe,sheep,2,0.4,0.3,0.5,0.2,5.4,1
Luxembourg,Europe,sheep,3.3,0.1,0.4,0.4,0,2.5,0.1
Malta,Europe,sheep,0,3.2,0.8,0,0.2,8.9,0.1
Montenegro,Europe,sheep,2.1,0.6,0,0,0,0,0
Netherlands,Europe,sheep,2.1,1,0.6,1,0,2.2,0.5
New Caledonia,Island nation,sheep,0.8,0.5,0.4,0,0,0.1,5.1
New Zealand,New Zealand,sheep,0.4,0.1,0,0,0,0.3,0
Norway,Europe,sheep,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Poland,Europe,sheep,1.7,0.6,0.3,0.4,0.2,3.1,0
Portugal,Europe,sheep,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,sheep,0.8,6.6,0.2,0,0,0.7,0
Saint Pierre and Miquelon,Canada,sheep,1.6,1.7,0.5,0.5,0,6.9,0.1
Serbia,Europe,sheep,0.9,7,0.3,0,0.2,0.9,0
Slovakia,Europe,sheep,5.9,5.1,0.4,0.5,0,0.1,0
Slovenia,Europe,sheep,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,sheep,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,sheep,3.6,0,0.4,0.8,0,7.5,0
Switzerland,Europe,sheep,1.2,0.4,0.4,0.2,0,1.8,0.2
The former Yugoslav Republic of Macedonia,Europe,sheep,0.7,2.1,0.2,0,0.3,4,0
United Kingdom,Europe,sheep,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,sheep,0.3,2.3,0.8,0.2,0,0.2,0.6
Albania,Europe,chicken,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,chicken,1.8,0,0.2,0.2,0.2,2.6,0
Austria,Europe,chicken,1.1,1.1,0.5,0.3,0.1,2.8,0
Belgium,Europe,chicken,1,0.6,0.5,1,0,2.1,0.2
Bermuda,USA,chicken,0,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,chicken,3.9,1.5,0.3,0,0,1.6,0
Bulgaria,Europe,chicken,3.2,1.2,0.3,0,0,2.2,0.3
Canada,Canada,chicken,1.6,1.7,0.5,0.5,0,6.9,0.1
Croatia,Europe,chicken,1.4,6.6,0.7,0.2,0,2.4,0
Czechia,Europe,chicken,6,1.9,1,4.5,0.1,8.3,0
Denmark,Europe,chicken,2.9,0.1,0.6,0.6,0,4.2,0
Estonia,Europe,chicken,1.2,0.1,0.2,1.5,0,6.1,0
Faroe Islands,Europe,chicken,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Finland,Europe,chicken,1.7,0,0.3,1.2,0,11.7,0.2
France,Europe,chicken,2.9,0.8,0.6,0.8,0,2.5,0.2
Germany,Europe,chicken,1.8,0.6,0.4,0.6,0,2.8,0
Greece,Europe,chicken,1.3,4,0.6,0.1,0,1.8,0.3
Greenland,Europe,chicken,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Hungary,Europe,chicken,2.5,5.6,0.6,0.1,0,3,0
Iceland,Europe,chicken,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,chicken,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,chicken,0.8,2.2,0.6,0.1,0,1.5,0
Latvia,Europe,chicken,3.5,0.1,0.3,0.5,0,4,0
Lithuania,Europe,chicken,2,0.4,0.3,0.5,0.2,5.4,1
Luxembourg,Europe,chicken,3.3,0.1,0.4,0.4,0,2.5,0.1
Malta,Europe,chicken,0,3.2,0.8,0,0.2,8.9,0.1
Montenegro,Europe,chicken,2.1,0.6,0,0,0,0,0
Netherlands,Europe,chicken,2.1,1,0.6,1,0,2.2,0.5
New Caledonia,Island nation,chicken,0.8,0.5,0.4,0,0,0.1,5.1
New Zealand,New Zealand,chicken,0.4,0.1,0,0,0,0.3,0
Norway,Europe,chicken,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Poland,Europe,chicken,1.7,0.6,0.3,0.4,0.2,3.1,0
Portugal,Europe,chicken,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,chicken,0.8,6.6,0.2,0,0,0.7,0
Saint Pierre and Miquelon,Canada,chicken,1.6,1.7,0.5,0.5,0,6.9,0.1
Serbia,Europe,chicken,0.9,7,0.3,0,0.2,0.9,0
Slovakia,Europe,chicken,5.9,5.1,0.4,0.5,0,0.1,0
Slovenia,Europe,chicken,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,chicken,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,chicken,3.6,0,0.4,0.8,0,7.5,0
Switzerland,Europe,chicken,1.2,0.4,0.4,0.2,0,1.8,0.2
The former Yugoslav Republic of Macedonia,Europe,chicken,0.7,2.1,0.2,0,0.3,4,0
United Kingdom,Europe,chicken,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,chicken,0.3,2.3,0.8,0.2,0,0.2,0.6
Albania,Europe,pig,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,pig,1.8,0,0.2,0.2,0.2,2.6,0
Austria,Europe,pig,1.1,1.1,0.5,0.3,0.1,2.8,0
Belgium,Europe,pig,1,0.6,0.5,1,0,2.1,0.2
Bermuda,USA,pig,0,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,pig,3.9,1.5,0.3,0,0,1.6,0
Bulgaria,Europe,pig,3.2,1.2,0.3,0,0,2.2,0.3
Canada,Canada,pig,1.6,1.7,0.5,0.5,0,6.9,0.1
Croatia,Europe,pig,1.4,6.6,0.7,0.2,0,2.4,0
Czechia,Europe,pig,6,1.9,1,4.5,0.1,8.3,0
Denmark,Europe,pig,2.9,0.1,0.6,0.6,0,4.2,0
Estonia,Europe,pig,1.2,0.1,0.2,1.5,0,6.1,0
Faroe Islands,Europe,pig,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Finland,Europe,pig,1.7,0,0.3,1.2,0,11.7,0.2
France,Europe,pig,2.9,0.8,0.6,0.8,0,2.5,0.2
Germany,Europe,pig,1.8,0.6,0.4,0.6,0,2.8,0
Greece,Europe,pig,1.3,4,0.6,0.1,0,1.8,0.3
Greenland,Europe,pig,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Hungary,Europe,pig,2.5,5.6,0.6,0.1,0,3,0
Iceland,Europe,pig,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,pig,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,pig,0.8,2.2,0.6,0.1,0,1.5,0
Latvia,Europe,pig,3.5,0.1,0.3,0.5,0,4,0
Lithuania,Europe,pig,2,0.4,0.3,0.5,0.2,5.4,1
Luxembourg,Europe,pig,3.3,0.1,0.4,0.4,0,2.5,0.1
Malta,Europe,pig,0,3.2,0.8,0,0.2,8.9,0.1
Montenegro,Europe,pig,2.1,0.6,0,0,0,0,0
Netherlands,Europe,pig,2.1,1,0.6,1,0,2.2,0.5
New Caledonia,Island nation,pig,0.8,0.5,0.4,0,0,0.1,5.1
New Zealand,New Zealand,pig,0.4,0.1,0,0,0,0.3,0
Norway,Europe,pig,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Poland,Europe,pig,1.7,0.6,0.3,0.4,0.2,3.1,0
Portugal,Europe,pig,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,pig,0.8,6.6,0.2,0,0,0.7,0
Saint Pierre and Miquelon,Canada,pig,1.6,1.7,0.5,0.5,0,6.9,0.1
Serbia,Europe,pig,0.9,7,0.3,0,0.2,0.9,0
Slovakia,Europe,pig,5.9,5.1,0.4,0.5,0,0.1,0
Slovenia,Europe,pig,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,pig,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,pig,3.6,0,0.4,0.8,0,7.5,0
Switzerland,Europe,pig,1.2,0.4,0.4,0.2,0,1.8,0.2
The former Yugoslav Republic of Macedonia,Europe,pig,0.7,2.1,0.2,0,0.3,4,0
United Kingdom,Europe,pig,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,pig,0.3,2.3,0.8,0.2,0,0.2,0.6
Albania,Europe,dairy cow,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,dairy cow,1.8,0,0.2,0.2,0.2,2.6,0
Austria,Europe,dairy cow,1.1,1.1,0.5,0.3,0.1,2.8,0
Belgium,Europe,dairy cow,1,0.6,0.5,1,0,2.1,0.2
Bermuda,USA,dairy cow,0,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,dairy cow,3.9,1.5,0.3,0,0,1.6,0
Bulgaria,Europe,dairy cow,3.2,1.2,0.3,0,0,2.2,0.3
Canada,Canada,dairy cow,1.6,1.7,0.5,0.5,0,6.9,0.1
Croatia,Europe,dairy cow,1.4,6.6,0.7,0.2,0,2.4,0
Czech Republic,Europe,dairy cow,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Denmark,Europe,dairy cow,2.9,0.1,0.6,0.6,0,4.2,0
Estonia,Europe,dairy cow,1.2,0.1,0.2,1.5,0,6.1,0
Finland,Europe,dairy cow,1.7,0,0.3,1.2,0,11.7,0.2
France,Europe,dairy cow,2.9,0.8,0.6,0.8,0,2.5,0.2
Germany,Europe,dairy cow,1.8,0.6,0.4,0.6,0,2.8,0
Greece,Europe,dairy cow,1.3,4,0.6,0.1,0,1.8,0.3
Hungary,Europe,dairy cow,2.5,5.6,0.6,0.1,0,3,0
Iceland,Europe,dairy cow,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,dairy cow,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,dairy cow,0.8,2.2,0.6,0.1,0,1.5,0
Latvia,Europe,dairy cow,3.5,0.1,0.3,0.5,0,4,0
Liechtenstein,Europe,dairy cow,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Lithuania,Europe,dairy cow,2,0.4,0.3,0.5,0.2,5.4,1
Luxembourg,Europe,dairy cow,3.3,0.1,0.4,0.4,0,2.5,0.1
Malta,Europe,dairy cow,0,3.2,0.8,0,0.2,8.9,0.1
Montenegro,Europe,dairy cow,2.1,0.6,0,0,0,0,0
Netherlands,Europe,dairy cow,2.1,1,0.6,1,0,2.2,0.5
New Caledonia,Island nation,dairy cow,0.8,0.5,0.4,0,0,0.1,5.1
New Zealand,New Zealand,dairy cow,0.4,0.1,0,0,0,0.3,0
Norway,Europe,dairy cow,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Poland,Europe,dairy cow,1.7,0.6,0.3,0.4,0.2,3.1,0
Portugal,Europe,dairy cow,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,dairy cow,0.8,6.6,0.2,0,0,0.7,0
Serbia,Europe,dairy cow,0.9,7,0.3,0,0.2,0.9,0
Slovakia,Europe,dairy cow,5.9,5.1,0.4,0.5,0,0.1,0
Slovenia,Europe,dairy cow,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,dairy cow,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,dairy cow,3.6,0,0.4,0.8,0,7.5,0
Switzerland,Europe,dairy cow,1.2,0.4,0.4,0.2,0,1.8,0.2
The former Yugoslav Republic of Macedonia,Europe,dairy cow,0.7,2.1,0.2,0,0.3,4,0
United Kingdom,Europe,dairy cow,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,dairy cow,0.3,2.3,0.8,0.2,0,0.2,0.6
Albania,Europe,hen,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,hen,1.8,0,0.2,0.2,0.2,2.6,0
Austria,Europe,hen,1.1,1.1,0.5,0.3,0.1,2.8,0
Belgium,Europe,hen,1,0.6,0.5,1,0,2.1,0.2
Bermuda,USA,hen,0,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,hen,3.9,1.5,0.3,0,0,1.6,0
Bulgaria,Europe,hen,3.2,1.2,0.3,0,0,2.2,0.3
Canada,Canada,hen,1.6,1.7,0.5,0.5,0,6.9,0.1
Croatia,Europe,hen,1.4,6.6,0.7,0.2,0,2.4,0
Czech Republic,Europe,hen,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Denmark,Europe,hen,2.9,0.1,0.6,0.6,0,4.2,0
Estonia,Europe,hen,1.2,0.1,0.2,1.5,0,6.1,0
Finland,Europe,hen,1.7,0,0.3,1.2,0,11.7,0.2
France,Europe,hen,2.9,0.8,0.6,0.8,0,2.5,0.2
Germany,Europe,hen,1.8,0.6,0.4,0.6,0,2.8,0
Greece,Europe,hen,1.3,4,0.6,0.1,0,1.8,0.3
Hungary,Europe,hen,2.5,5.6,0.6,0.1,0,3,0
Iceland,Europe,hen,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,hen,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,hen,0.8,2.2,0.6,0.1,0,1.5,0
Latvia,Europe,hen,3.5,0.1,0.3,0.5,0,4,0
Lithuania,Europe,hen,2,0.4,0.3,0.5,0.2,5.4,1
Luxembourg,Europe,hen,3.3,0.1,0.4,0.4,0,2.5,0.1
Malta,Europe,hen,0,3.2,0.8,0,0.2,8.9,0.1
Montenegro,Europe,hen,2.1,0.6,0,0,0,0,0
Netherlands,Europe,hen,2.1,1,0.6,1,0,2.2,0.5
New Caledonia,Island nation,hen,0.8,0.5,0.4,0,0,0.1,5.1
New Zealand,New Zealand,hen,0.4,0.1,0,0,0,0.3,0
Norway,Europe,hen,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Poland,Europe,hen,1.7,0.6,0.3,0.4,0.2,3.1,0
Portugal,Europe,hen,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,hen,0.8,6.6,0.2,0,0,0.7,0
Saint Pierre and Miquelon,Canada,hen,1.6,1.7,0.5,0.5,0,6.9,0.1
Serbia,Europe,hen,0.9,7,0.3,0,0.2,0.9,0
Slovakia,Europe,hen,5.9,5.1,0.4,0.5,0,0.1,0
Slovenia,Europe,hen,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,hen,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,hen,3.6,0,0.4,0.8,0,7.5,0
Switzerland,Europe,hen,1.2,0.4,0.4,0.2,0,1.8,0.2
The former Yugoslav Republic of Macedonia,Europe,hen,0.7,2.1,0.2,0,0.3,4,0
United Kingdom,Europe,hen,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,hen,0.3,2.3,0.8,0.2,0,0.2,0.6
Albania,Europe,marine fish,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,marine fish,1.8,0,0.2,0.2,0.2,2.6,0
Bosnia and Herzegovina,Europe,marine fish,3.9,1.5,0.3,0,0,1.6,0
Canada,Canada,marine fish,1.6,1.7,0.5,0.5,0,6.9,0.1
Croatia,Europe,marine fish,1.4,6.6,0.7,0.2,0,2.4,0
Denmark,Europe,marine fish,2.9,0.1,0.6,0.6,0,4.2,0
Faroe Islands,Europe,marine fish,1.9,1.7,0.4,0.5,0.1,3.2,0.5
France,Europe,marine fish,2.9,0.8,0.6,0.8,0,2.5,0.2
Greece,Europe,marine fish,1.3,4,0.6,0.1,0,1.8,0.3
Iceland,Europe,marine fish,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,marine fish,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,marine fish,0.8,2.2,0.6,0.1,0,1.5,0
Malta,Europe,marine fish,0,3.2,0.8,0,0.2,8.9,0.1
Montenegro,Europe,marine fish,2.1,0.6,0,0,0,0,0
Netherlands,Europe,marine fish,2.1,1,0.6,1,0,2.2,0.5
New Caledonia,Island nation,marine fish,0.8,0.5,0.4,0,0,0.1,5.1
New Zealand,New Zealand,marine fish,0.4,0.1,0,0,0,0.3,0
Norway,Europe,marine fish,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Portugal,Europe,marine fish,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,marine fish,0.8,6.6,0.2,0,0,0.7,0
Slovenia,Europe,marine fish,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,marine fish,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,marine fish,3.6,0,0.4,0.8,0,7.5,0
United Kingdom,Europe,marine fish,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,marine fish,0.3,2.3,0.8,0.2,0,0.2,0.6
Serbia and Montenegro,Europe,marine fish,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Germany,Europe,marine fish,1.8,0.6,0.4,0.6,0,2.8,0
Finland,Europe,marine fish,1.7,0,0.3,1.2,0,11.7,0.2
Australia,Australia,marine crustacean,1.8,0,0.2,0.2,0.2,2.6,0
France,Europe,marine crustacean,2.9,0.8,0.6,0.8,0,2.5,0.2
Greece,Europe,marine crustacean,1.3,4,0.6,0.1,0,1.8,0.3
Italy,Europe,marine crustacean,0.8,2.2,0.6,0.1,0,1.5,0
New Caledonia,Island nation,marine crustacean,0.8,0.5,0.4,0,0,0.1,5.1
Portugal,Europe,marine crustacean,1,3.2,0.7,0.7,0.1,1.3,0.6
Spain,Europe,marine crustacean,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Turks and Caicos Islands,Caribbean,marine crustacean,0.6,1.6,0.3,0,0,0,18.2
United States of America,USA,marine crustacean,0.3,2.3,0.8,0.2,0,0.2,0.6
Northern Mariana Is.,USA,marine crustacean,0.2,1.1,0.4,0.1,0,0.1,0.3
Albania,Europe,fw fish,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,fw fish,1.8,0,0.2,0.2,0.2,2.6,0
Austria,Europe,fw fish,1.1,1.1,0.5,0.3,0.1,2.8,0
Belgium,Europe,fw fish,1,0.6,0.5,1,0,2.1,0.2
Bosnia and Herzegovina,Europe,fw fish,3.9,1.5,0.3,0,0,1.6,0
Bulgaria,Europe,fw fish,3.2,1.2,0.3,0,0,2.2,0.3
Canada,Canada,fw fish,1.6,1.7,0.5,0.5,0,6.9,0.1
Croatia,Europe,fw fish,1.4,6.6,0.7,0.2,0,2.4,0
Czechia,Europe,fw fish,6,1.9,1,4.5,0.1,8.3,0
Denmark,Europe,fw fish,2.9,0.1,0.6,0.6,0,4.2,0
Estonia,Europe,fw fish,1.2,0.1,0.2,1.5,0,6.1,0
Finland,Europe,fw fish,1.7,0,0.3,1.2,0,11.7,0.2
France,Europe,fw fish,2.9,0.8,0.6,0.8,0,2.5,0.2
Germany,Europe,fw fish,1.8,0.6,0.4,0.6,0,2.8,0
Greece,Europe,fw fish,1.3,4,0.6,0.1,0,1.8,0.3
Hungary,Europe,fw fish,2.5,5.6,0.6,0.1,0,3,0
Iceland,Europe,fw fish,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,fw fish,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,fw fish,0.8,2.2,0.6,0.1,0,1.5,0
Latvia,Europe,fw fish,3.5,0.1,0.3,0.5,0,4,0
Lithuania,Europe,fw fish,2,0.4,0.3,0.5,0.2,5.4,1
The former Yugoslav Republic of Macedonia,Europe,fw fish,0.7,2.1,0.2,0,0.3,4,0
Republic of Moldova,Europe,fw fish,2.3,6.6,0.1,0,0,2.8,0
Montenegro,Europe,fw fish,2.1,0.6,0,0,0,0,0
Netherlands,Europe,fw fish,2.1,1,0.6,1,0,2.2,0.5
New Zealand,New Zealand,fw fish,0.4,0.1,0,0,0,0.3,0
Northern Mariana Is.,USA,fw fish,0.2,1.1,0.4,0.1,0,0.1,0.3
